Local_Date_Time,RIC,Price,Volume
2021-04-07,ADBE.O,493.41,213321
2021-04-08,ADBE.O,499.84,204691
2021-04-09,ADBE.O,504.04,240273
2021-04-12,ADBE.O,506.03,143068
2021-04-13,ADBE.O,514.86,182967
2021-04-14,ADBE.O,510.63,170910
2021-04-15,ADBE.O,523.25,230803
2021-04-16,ADBE.O,525.08,255565
2021-04-19,ADBE.O,516.17,231145
2021-04-20,ADBE.O,514.21,161180
2021-04-21,ADBE.O,512.34,239042
2021-04-22,ADBE.O,507.29,177190
2021-04-23,ADBE.O,515.84,393772
2021-04-26,ADBE.O,515.7,161544
2021-04-27,ADBE.O,517.32,164339
2021-04-28,ADBE.O,515.48,162345
2021-04-29,ADBE.O,516.09,192828
2021-04-30,ADBE.O,508.34,295297
2021-05-03,ADBE.O,503.46,143350
2021-05-04,ADBE.O,490.7,355012
2021-05-05,ADBE.O,486.69,189810
2021-05-06,ADBE.O,483.61,199626
2021-05-07,ADBE.O,488.73,159096
2021-05-10,ADBE.O,479.38,219439
2021-05-11,ADBE.O,485.19,159588
2021-05-12,ADBE.O,472.09,314512
2021-05-13,ADBE.O,474.16,205679
2021-05-14,ADBE.O,486.56,200652
2021-05-17,ADBE.O,482.74,142486
2021-05-18,ADBE.O,480.62,156588
2021-05-19,ADBE.O,480.47,281314
2021-05-20,ADBE.O,491.67,260010
2021-05-21,ADBE.O,488.07,189834
2021-05-24,ADBE.O,497.83,267154
2021-05-25,ADBE.O,505.08,443831
2021-05-26,ADBE.O,506.98,421182
2021-05-27,ADBE.O,498.28,899115
2021-05-28,ADBE.O,504.58,289778
2021-06-01,ADBE.O,495.91,185183
2021-06-02,ADBE.O,495.77,167086
2021-06-03,ADBE.O,493.14,168380
2021-06-04,ADBE.O,504.5,192501
2021-06-07,ADBE.O,509.47,249416
2021-06-08,ADBE.O,509.2,183865
2021-06-09,ADBE.O,514.68,187086
2021-06-10,ADBE.O,535.52,209012
2021-06-11,ADBE.O,541.26,233576
2021-06-14,ADBE.O,556.95,164375
2021-06-15,ADBE.O,548.46,275283
2021-06-16,ADBE.O,543.33,307212
2021-06-17,ADBE.O,551.36,304309
2021-06-18,ADBE.O,565.59,813072
2021-06-21,ADBE.O,567.35,200672
2021-06-22,ADBE.O,575.74,257974
2021-06-23,ADBE.O,574.23,159095
2021-06-24,ADBE.O,578.26,211425
2021-06-25,ADBE.O,579.66,518039
2021-06-28,ADBE.O,588.8,177363
2021-06-29,ADBE.O,590.75,109105
2021-06-30,ADBE.O,585.64,307142
2021-07-01,ADBE.O,584.73,182363
2021-07-02,ADBE.O,593.07,207169
2021-07-06,ADBE.O,596.9,221297
2021-07-07,ADBE.O,605.77,199939
2021-07-08,ADBE.O,605.95,184283
2021-07-09,ADBE.O,604.5,220974
2021-07-12,ADBE.O,600.2,165142
2021-07-13,ADBE.O,605.01,135151
2021-07-14,ADBE.O,608.83,178447
2021-07-15,ADBE.O,606.17,239016
2021-07-16,ADBE.O,606.1,151114
2021-07-19,ADBE.O,602.05,252584
